495279	294	2555	2548	2593	1	0	0	0	22	1
495279	294	2555	2548	2593	1	0	0	1	12	1
495279	294	2555	2548	2593	1	1	0	0	15	1
495279	294	2555	2548	2593	1	1	0	0	15	1
495279	294	2555	2548	2593	1	0	0	0	18	1
495279	294	2555	2548	2593	1	1	0	0	8	1
495279	294	2555	2548	2593	1	0	0	0	10	1
495279	294	2555	2548	2593	1	1	0	1	11	1
495279	294	2555	2548	2593	1	2	0	1	12	1
40097	1	130	7	256	1	0	0	1	12	1
18396	221	2484	711	511	0	1	1	0	20	1
524031	230	4360	2060	5217	1	1	0	2	16	1
524031	230	4360	2060	5217	1	1	1	1	15	1
524031	230	4360	2060	5217	1	1	1	1	19	1
524031	230	4360	2060	5217	1	1	0	1	16	1
524031	230	4360	2060	5217	1	1	2	1	16	1
524031	230	4360	2060	5217	1	0	2	1	17	1
524031	230	4360	2060	5217	1	0	1	1	18	1
524031	230	4360	2060	5217	1	0	1	2	13	1
524031	230	4360	2060	5217	1	0	1	1	20	1
524031	230	4360	2060	5217	1	0	4	0	14	1
9467	62	194	0	231	0	0	1	1	21	1
40558	498	4797	3376	1017	1	0	0	1	16	1
13436	62	632	215	379	0	2	0	1	16	1
8240	313	1305	80	154	1	3	1	1	15	1
495095	722	28001	7550	10361	1	1	1	1	16	1
135769	919	4589	2161	2650	1	1	0	1	17	1
169025	388	17462	3691	3915	1	0	1	1	19	1
169025	388	17462	3691	3915	1	3	2	0	19	1
342588	434	9660	3139	5008	1	1	0	1	20	1
342588	434	9660	3139	5008	1	0	0	1	16	1
42695	193	503	63	1222	1	1	1	1	15	1
675412	155	10682	40	6162	1	1	0	1	15	1
33920	4	265	0	1948	1	0	0	0	20	1
33920	4	265	0	1948	1	1	0	2	18	1
33920	4	265	0	1948	1	0	0	1	17	1
1027190	145	2260	13	7700	1	3	0	0	20	1
1027190	145	2260	13	7700	1	2	1	1	15	1
1027190	145	2260	13	7700	1	1	1	0	5	1
1027190	145	2260	13	7700	1	2	0	0	22	1
1027190	145	2260	13	7700	1	2	0	1	9	1
67579	100	337	32	2108	1	5	1	0	8	1
67579	100	337	32	2108	1	3	2	0	7	1
67579	100	337	32	2108	1	1	2	0	20	1
67579	100	337	32	2108	1	1	1	0	9	1
67579	100	337	32	2108	1	4	1	0	12	1
67579	100	337	32	2108	1	2	1	0	14	1
67579	100	337	32	2108	1	1	1	0	4	1
9378	30	200	13	332	1	1	1	0	17	-1
9378	30	200	13	332	1	0	2	0	19	-1
6501	45	269	15	150	1	0	1	2	17	-1
6501	45	269	15	150	1	0	1	2	13	-1
135356	161	3680	108	3309	0	1	0	1	11	-1
135356	161	3680	108	3309	0	0	0	1	13	-1
7049	19	790	0	148	0	1	1	1	19	-1
7049	19	790	0	148	0	1	2	0	24	-1
5307	365	2281	10	160	1	0	2	1	15	-1
5307	365	2281	10	160	1	1	3	1	16	-1
5307	365	2281	10	160	1	0	0	1	13	-1
60914	111	629	81	1468	0	0	0	0	18	-1
60914	111	629	81	1468	0	0	3	0	16	-1
60914	111	629	81	1468	0	0	0	1	10	-1
459644	656	3678	687	2075	1	0	2	0	17	-1
459644	656	3678	687	2075	1	1	1	0	21	-1
459644	656	3678	687	2075	1	0	2	0	20	-1
208247	37	610	136	3338	1	2	1	1	20	-1
208247	37	610	136	3338	1	0	0	1	16	-1
208247	37	610	136	3338	1	0	0	0	19	-1
42695	193	503	63	1222	1	1	0	1	20	-1
42695	193	503	63	1222	1	0	2	1	17	-1
42695	193	503	63	1222	1	1	0	0	23	-1
42695	193	503	63	1222	1	2	2	0	18	-1
43551	66	1078	5	1980	0	0	4	0	20	-1
43551	66	1078	5	1980	0	1	2	0	17	-1
